id_estudiante,fecha_consulta,derivado,tipo_consulta,urgencia,tiempo_consulta,tiempo_espera,id_asesor,calidad_del_servicio,consulta_resuelta,satisfaccion_estudiante,indice_promotor_neto,puntaje_esfuerzo_cliente,mes_consulta
E00001,2024-09-20,True,Solicitud de documentos,Media,2436,1159,A215,1,False,5,-2,3,septiembre
E00002,2023-02-07,False,Información general,Baja,2699,1163,A192,3,True,5,19,4,febrero
E00003,2024-10-04,True,Información general,Media,1062,434,A242,2,False,4,48,2,octubre
E00004,2023-10-24,True,Solicitud de documentos,Baja,663,620,A007,3,True,2,88,3,octubre
E00005,2024-12-31,True,Solicitud de documentos,Baja,2376,164,A259,1,True,4,23,4,diciembre
E00006,2024-03-30,False,Queja,Alta,1918,269,A256,2,True,2,25,3,marzo
E00007,2024-01-30,True,Queja,Baja,754,754,A276,3,True,5,-9,2,enero
E00008,2023-03-21,True,Queja,Media,1003,46,A029,2,True,2,44,4,marzo
E00009,2024-10-26,True,Queja,Baja,591,591,A091,3,False,1,14,5,octubre
E00010,2024-03-08,False,Consulta de matrícula,Alta,1396,623,A061,3,True,5,2,4,marzo
E00011,2024-04-22,True,Consulta de matrícula,Alta,3305,1126,A410,3,True,2,-89,1,abril
E00012,2023-01-27,True,Información general,Media,1203,910,A327,1,True,3,76,5,enero
E00013,2024-08-08,True,Consulta de matrícula,Alta,2681,1161,A003,2,True,2,97,4,agosto
E00014,2023-09-06,True,Consulta de matrícula,Media,632,156,A463,3,True,2,79,1,septiembre
E00015,2024-09-08,False,Queja,Media,1063,878,A309,1,True,5,61,4,septiembre
E00016,2024-08-15,True,Queja,Media,1263,1059,A267,3,True,2,-10,5,agosto
E00017,2024-12-30,False,Solicitud de documentos,Media,2037,1182,A330,3,True,4,36,2,diciembre
E00018,2023-05-29,False,Queja,Alta,2784,221,A453,1,True,3,-41,2,mayo
E00019,2024-02-22,False,Solicitud de documentos,Media,3489,17,A043,1,True,4,95,4,febrero
E00020,2024-05-14,True,Solicitud de documentos,Media,1083,315,A161,2,False,4,90,1,mayo
E00021,2023-01-20,False,Consulta de matrícula,Alta,1522,721,A130,1,False,4,-90,5,enero
E00022,2024-07-13,True,Queja,Baja,2227,201,A448,3,True,5,-33,4,julio
E00023,2024-07-20,False,Consulta de matrícula,Alta,2169,599,A225,1,True,1,42,5,julio
E00024,2023-06-05,False,Queja,Media,742,742,A257,1,True,3,-21,4,junio
E00025,2023-12-25,False,Consulta de matrícula,Alta,393,393,A196,3,True,1,60,2,diciembre
E00026,2024-06-02,False,Consulta de matrícula,Baja,326,326,A292,3,True,1,54,3,junio
E00027,2024-11-22,False,Consulta de matrícula,Baja,1542,491,A006,2,True,5,-66,5,noviembre
E00028,2023-07-12,False,Información general,Alta,3029,118,A015,3,True,2,-57,4,julio
E00029,2023-02-14,False,Consulta de matrícula,Media,2562,352,A409,1,True,2,61,4,febrero
E00030,2023-07-16,False,Consulta de trámites,Media,610,209,A126,1,True,5,-100,4,julio
E00031,2024-06-03,True,Consulta de trámites,Alta,683,683,A182,3,True,5,18,3,junio
E00032,2023-01-08,True,Consulta de trámites,Media,3537,526,A153,2,True,3,25,4,enero
E00033,2024-11-22,False,Solicitud de documentos,Baja,1067,27,A488,2,True,4,-32,2,noviembre
E00034,2024-10-22,False,Consulta de matrícula,Alta,716,716,A364,3,True,1,-17,4,octubre
E00035,2023-01-04,False,Consulta de trámites,Media,2861,384,A006,1,False,2,-69,1,enero
E00036,2024-02-18,True,Solicitud de documentos,Baja,2436,46,A446,3,True,5,-23,5,febrero
E00037,2023-07-08,False,Consulta de trámites,Media,2632,742,A184,1,False,5,-88,5,julio
E00038,2024-06-24,True,Queja,Baja,1633,1163,A498,1,True,4,-5,3,junio
E00039,2023-07-05,True,Información general,Baja,2844,459,A364,1,True,5,-13,5,julio
E00040,2024-01-21,True,Consulta de matrícula,Media,962,488,A037,3,False,1,-48,2,enero
E00041,2024-03-13,True,Información general,Media,2731,758,A372,1,True,2,-64,1,marzo
E00042,2023-01-02,True,Información general,Baja,1094,324,A005,3,True,4,31,3,enero
E00043,2023-10-04,False,Queja,Baja,116,116,A217,3,True,4,-48,5,octubre
E00044,2023-01-04,False,Queja,Media,870,870,A045,2,False,3,64,4,enero
E00045,2024-01-24,False,Queja,Media,3509,667,A200,2,True,4,-9,5,enero
E00046,2024-09-03,False,Solicitud de documentos,Baja,1128,788,A199,2,True,2,94,2,septiembre
E00047,2023-01-10,False,Consulta de trámites,Baja,3120,206,A194,3,True,1,-41,5,enero
E00048,2024-02-01,True,Consulta de matrícula,Media,2032,81,A071,3,False,5,40,5,febrero
E00049,2024-10-31,False,Queja,Media,1868,638,A445,3,True,1,-21,2,octubre
E00050,2023-04-17,False,Consulta de matrícula,Media,2217,914,A085,2,False,1,6,1,abril
E00051,2024-10-27,True,Consulta de matrícula,Alta,160,160,A276,1,False,2,95,4,octubre
E00052,2024-01-24,False,Consulta de matrícula,Media,955,955,A374,1,False,3,-33,5,enero
E00053,2023-10-18,True,Queja,Alta,3287,1060,A353,2,True,4,-68,4,octubre
E00054,2023-03-14,False,Queja,Media,1420,125,A293,2,True,3,25,5,marzo
E00055,2024-06-08,True,Consulta de trámites,Media,3275,269,A131,1,True,3,-45,1,junio
E00056,2023-05-03,False,Queja,Alta,2256,1149,A277,2,True,3,61,1,mayo
E00057,2024-12-18,False,Queja,Alta,896,686,A323,3,False,5,-74,5,diciembre
E00058,2023-09-06,True,Consulta de matrícula,Media,840,840,A239,3,True,1,42,5,septiembre
E00059,2024-08-16,True,Consulta de trámites,Baja,2483,143,A157,2,True,1,19,4,agosto
E00060,2023-01-02,True,Información general,Alta,1318,61,A023,3,True,3,69,1,enero
E00061,2024-01-04,True,Queja,Media,2425,747,A298,3,True,3,65,4,enero
E00062,2024-02-19,True,Queja,Baja,2938,1057,A436,3,True,4,-20,2,febrero
E00063,2024-02-14,True,Información general,Media,3140,298,A474,1,True,5,-42,3,febrero
E00064,2024-01-06,True,Consulta de matrícula,Media,260,260,A283,2,True,4,1,5,enero
E00065,2023-12-14,True,Consulta de trámites,Media,2564,180,A095,3,True,5,38,5,diciembre
E00066,2023-05-10,False,Consulta de matrícula,Media,1006,774,A270,2,True,3,-3,4,mayo
E00067,2023-02-23,False,Solicitud de documentos,Media,1377,932,A072,3,True,5,26,5,febrero
E00068,2024-07-26,True,Queja,Media,86,86,A294,1,True,1,-5,2,julio
E00069,2023-02-06,False,Solicitud de documentos,Media,3553,1027,A380,3,True,2,28,1,febrero
E00070,2023-05-11,False,Queja,Media,1316,963,A044,1,True,1,84,2,mayo
E00071,2024-09-25,False,Solicitud de documentos,Media,2131,324,A160,3,True,3,-74,5,septiembre
E00072,2023-05-29,False,Información general,Media,2498,174,A126,1,True,1,-39,4,mayo
E00073,2024-08-17,True,Queja,Alta,2031,523,A017,3,False,5,-45,1,agosto
E00074,2024-01-10,False,Queja,Baja,3513,859,A452,3,True,5,23,2,enero
E00075,2024-12-09,True,Solicitud de documentos,Media,88,88,A142,1,True,3,34,2,diciembre
E00076,2024-01-09,False,Consulta de trámites,Baja,2507,379,A035,3,True,4,-92,4,enero
E00077,2024-08-28,False,Solicitud de documentos,Baja,2524,581,A110,3,True,5,90,5,agosto
E00078,2024-11-15,False,Queja,Media,1472,456,A428,3,True,1,-23,1,noviembre
E00079,2024-04-15,True,Queja,Baja,896,760,A473,1,True,3,-78,1,abril
E00080,2024-12-09,False,Consulta de trámites,Baja,1936,722,A104,2,True,1,19,5,diciembre
E00081,2024-06-24,True,Consulta de matrícula,Baja,3195,1127,A491,3,True,2,-92,1,junio
E00082,2024-11-18,False,Consulta de trámites,Media,3314,1123,A490,3,False,3,-17,3,noviembre
E00083,2023-01-24,True,Consulta de matrícula,Baja,2730,137,A363,1,True,1,20,1,enero
E00084,2024-09-27,False,Queja,Media,2916,65,A113,2,True,4,32,4,septiembre
E00085,2023-03-23,True,Información general,Baja,2289,1017,A477,3,True,4,11,3,marzo
E00086,2023-04-23,True,Información general,Media,2890,188,A048,3,True,1,-9,3,abril
E00087,2024-04-03,False,Solicitud de documentos,Baja,162,162,A046,2,True,5,58,2,abril
E00088,2024-09-08,True,Consulta de trámites,Media,3267,453,A173,3,True,5,-92,3,septiembre
E00089,2024-12-01,False,Consulta de trámites,Baja,3017,1004,A467,2,True,1,-92,5,diciembre
E00090,2024-04-08,False,Información general,Baja,1285,29,A432,1,True,5,-28,1,abril
E00091,2024-10-14,False,Consulta de matrícula,Media,2102,710,A070,1,False,5,-39,2,octubre
E00092,2023-03-30,False,Consulta de trámites,Alta,1903,445,A328,2,True,5,11,2,marzo
E00093,2023-08-29,False,Consulta de matrícula,Alta,3061,985,A132,1,True,3,51,4,agosto
E00094,2023-11-12,False,Consulta de matrícula,Baja,3500,909,A428,2,True,5,13,4,noviembre
E00095,2023-03-28,False,Consulta de matrícula,Baja,741,492,A252,3,True,5,88,5,marzo
E00096,2023-10-06,False,Consulta de matrícula,Media,964,155,A088,1,True,1,31,4,octubre
E00097,2024-02-09,False,Solicitud de documentos,Baja,77,77,A410,2,False,3,17,3,febrero
E00098,2023-03-15,False,Solicitud de documentos,Alta,2129,804,A429,2,True,2,92,5,marzo
E00099,2023-02-15,False,Información general,Alta,2137,653,A030,2,False,3,-2,1,febrero
E00100,2024-12-10,True,Solicitud de documentos,Media,2550,299,A005,3,False,5,17,5,diciembre
E00101,2023-09-26,True,Consulta de trámites,Media,820,820,A185,3,True,2,96,1,septiembre
E00102,2024-07-12,False,Solicitud de documentos,Media,1506,651,A175,3,True,1,-68,4,julio
E00103,2023-11-05,False,Consulta de trámites,Baja,2897,215,A170,1,True,5,39,3,noviembre
E00104,2023-09-23,False,Consulta de trámites,Alta,1907,680,A366,3,False,5,70,1,septiembre
E00105,2024-05-30,False,Consulta de matrícula,Baja,2828,811,A337,2,True,1,72,1,mayo
E00106,2023-10-23,False,Información general,Media,2260,162,A094,3,True,3,54,5,octubre
E00107,2024-07-02,False,Consulta de matrícula,Baja,1292,1188,A234,1,True,3,18,2,julio
E00108,2023-03-01,False,Consulta de matrícula,Baja,2141,93,A440,3,True,4,4,3,marzo
E00109,2023-04-20,False,Solicitud de documentos,Media,2398,449,A395,2,True,4,35,2,abril
E00110,2024-02-28,True,Solicitud de documentos,Media,1873,818,A373,1,True,5,22,5,febrero
E00111,2024-02-08,False,Consulta de trámites,Baja,658,189,A465,2,False,2,-41,2,febrero
E00112,2023-09-29,True,Solicitud de documentos,Alta,3005,704,A243,3,True,2,-91,3,septiembre
E00113,2023-07-27,False,Solicitud de documentos,Media,1618,14,A415,1,True,3,-79,2,julio
E00114,2024-04-09,False,Queja,Alta,641,641,A351,1,True,1,48,3,abril
E00115,2024-07-07,True,Consulta de trámites,Baja,1772,20,A310,2,True,2,32,3,julio
E00116,2024-02-24,False,Consulta de trámites,Baja,3008,744,A213,1,True,4,7,3,febrero
E00117,2024-09-14,True,Queja,Baja,2808,967,A428,1,True,4,94,1,septiembre
E00118,2024-03-04,False,Consulta de trámites,Baja,1579,336,A380,1,True,5,-37,4,marzo
E00119,2024-11-26,False,Información general,Alta,3519,604,A285,2,True,2,-30,5,noviembre
