id_estudiante,fecha_consulta,derivado,tipo_consulta,urgencia,tiempo_consulta,tiempo_espera,id_asesor,calidad_del_servicio,consulta_resuelta,puntaje_esfuerzo_cliente,indice_promotor_neto,satisfaccion_estudiante
E00001,2023-03-01,True,Queja,Baja,802,642,A248,2,True,5,77,3
E00002,2023-05-08,False,Consulta de matrícula,Baja,1514,474,A052,1,True,2,78,3
E00003,2023-06-03,True,Consulta de matrícula,Media,1285,691,A295,1,True,3,53,3
E00004,2024-09-14,True,Solicitud de documentos,Media,1525,1316,A201,2,True,4,40,3
E00005,2023-03-26,True,Queja,Media,1324,166,A150,3,True,2,70,3
E00006,2023-12-20,False,Consulta de matrícula,Media,1382,1230,A296,3,False,3,40,3
E00007,2023-01-08,True,Solicitud de documentos,Baja,1190,711,A186,2,False,4,76,3
E00008,2023-01-29,True,Información general,Media,1303,1273,A163,3,True,3,45,3
E00009,2023-10-16,True,Consulta de matrícula,Media,1448,255,A275,3,True,5,62,3
E00010,2024-09-25,False,Información general,Media,819,71,A331,3,True,3,61,4
E00011,2024-03-20,True,Consulta de matrícula,Baja,1008,887,A298,2,True,1,84,4
E00012,2024-02-02,True,Queja,Media,1011,805,A289,1,True,5,44,2
E00013,2024-08-15,True,Consulta de matrícula,Alta,1095,1046,A387,1,True,3,27,2
E00014,2023-03-04,True,Consulta de matrícula,Baja,1534,1352,A087,1,True,5,20,1
E00015,2023-11-09,False,Información general,Baja,1825,1428,A045,1,True,4,36,1
E00016,2024-04-10,True,Consulta de trámites,Media,1303,1134,A482,1,True,1,73,3
E00017,2023-08-20,False,Solicitud de documentos,Media,829,791,A199,3,True,1,85,5
E00018,2024-06-30,False,Consulta de matrícula,Media,1426,257,A040,3,True,3,62,3
E00019,2024-07-17,False,Información general,Media,1192,5,A489,3,True,4,58,3
E00020,2023-06-02,True,Consulta de trámites,Baja,1565,843,A311,2,True,5,12,1
E00021,2023-01-21,False,Solicitud de documentos,Baja,1545,695,A061,3,False,3,39,2
E00022,2023-10-27,True,Queja,Media,1415,627,A065,1,True,2,25,2
E00023,2023-07-08,False,Solicitud de documentos,Baja,397,5,A260,3,True,3,99,4
E00024,2024-02-18,False,Solicitud de documentos,Media,772,5,A067,1,True,2,97,4
E00025,2023-06-03,False,Consulta de matrícula,Media,767,103,A113,3,True,1,104,5
E00026,2024-11-21,False,Consulta de trámites,Media,1636,1228,A361,1,True,3,45,2
E00027,2023-02-05,False,Queja,Alta,970,236,A169,3,True,3,85,4
E00028,2023-05-16,False,Consulta de trámites,Media,1274,166,A302,1,True,1,79,3
E00029,2023-01-24,False,Información general,Alta,1800,920,A257,1,True,5,8,1
E00030,2023-11-28,False,Consulta de trámites,Baja,1343,674,A011,2,True,3,79,3
E00031,2024-04-15,True,Consulta de trámites,Media,1097,5,A184,3,True,4,57,3
E00032,2023-07-06,True,Información general,Baja,1394,744,A067,1,True,1,44,3
E00033,2023-01-19,False,Solicitud de documentos,Alta,1334,699,A272,3,True,5,55,3
E00034,2024-09-08,False,Consulta de trámites,Media,819,367,A343,1,True,1,63,4
E00035,2023-04-13,False,Queja,Media,1082,432,A440,2,True,1,48,3
E00036,2024-04-08,True,Consulta de trámites,Media,1323,999,A227,2,True,5,79,3
E00037,2023-06-20,False,Información general,Baja,1355,1198,A065,2,True,5,54,2
E00038,2023-10-10,True,Solicitud de documentos,Baja,1160,460,A432,2,True,5,64,3
E00039,2024-01-10,True,Consulta de trámites,Media,1748,1304,A108,1,True,4,41,3
E00040,2023-02-25,True,Queja,Baja,989,832,A324,3,True,2,74,4
E00041,2023-03-08,True,Solicitud de documentos,Media,828,742,A021,2,True,1,96,4
E00042,2023-02-27,True,Consulta de matrícula,Alta,1353,872,A218,2,False,3,40,2
E00043,2023-06-14,False,Solicitud de documentos,Baja,1615,1465,A334,2,True,2,64,3
E00044,2024-08-04,False,Información general,Alta,711,5,A345,3,False,3,62,4
E00045,2023-09-03,False,Consulta de matrícula,Media,1238,130,A089,1,True,3,52,3
E00046,2023-09-13,False,Solicitud de documentos,Media,1129,438,A086,1,True,3,40,2
E00047,2023-08-30,False,Consulta de trámites,Baja,1895,843,A347,1,True,4,24,2
E00048,2024-12-03,True,Información general,Media,1740,999,A399,1,True,4,40,2
E00049,2024-08-30,False,Solicitud de documentos,Media,1174,98,A360,3,True,2,95,4
E00050,2023-08-11,False,Solicitud de documentos,Baja,1336,660,A442,3,True,5,26,2
E00051,2023-09-02,True,Consulta de matrícula,Alta,1305,222,A196,3,False,4,25,2
E00052,2023-01-22,False,Información general,Media,1040,544,A230,2,True,1,71,3
